RequestID,LocalStudentID,CourseCode,CourseName,SubjectArea,RequestedYear,RequestStatus
RQ059,S10059,ALG1,Algebra I,Math,2026-2027,Requested
RQ060,S10060,GEOM,Geometry,Math,2026-2027,Recommended
RQ061,S10061,BIO,Biology,Science,2026-2027,Requested
RQ062,S10062,BUS1,Principles of Business,CTE,2026-2027,Recommended
RQ063,S10063,HLTH1,Principles of Health Science,CTE,2026-2027,Requested
RQ064,S10064,IT1,Principles of IT,CTE,2026-2027,Recommended
RQ065,S10065,EDU1,Principles of Education,CTE,2026-2027,Requested
RQ066,S10066,MFG1,Principles of Manufacturing,CTE,2026-2027,Recommended
RQ067,S10067,ENG1,English I,ELA,2026-2027,Requested
RQ068,S10068,ENG2,English II,ELA,2026-2027,Recommended
RQ069,S10069,ALG1,Algebra I,Math,2026-2027,Requested
RQ070,S10070,GEOM,Geometry,Math,2026-2027,Recommended
RQ071,S10071,BIO,Biology,Science,2026-2027,Requested
RQ072,S10072,BUS1,Principles of Business,CTE,2026-2027,Recommended
RQ073,S10073,HLTH1,Principles of Health Science,CTE,2026-2027,Requested
RQ074,S10074,IT1,Principles of IT,CTE,2026-2027,Recommended
RQ075,S10075,EDU1,Principles of Education,CTE,2026-2027,Requested
RQ076,S10076,MFG1,Principles of Manufacturing,CTE,2026-2027,Recommended
RQ077,S10077,ENG1,English I,ELA,2026-2027,Requested
RQ078,S10078,ENG2,English II,ELA,2026-2027,Recommended
RQ079,S10079,ALG1,Algebra I,Math,2026-2027,Requested
RQ080,S10080,GEOM,Geometry,Math,2026-2027,Recommended
RQ081,S10081,BIO,Biology,Science,2026-2027,Requested
RQ082,S10082,BUS1,Principles of Business,CTE,2026-2027,Recommended
RQ083,S10083,HLTH1,Principles of Health Science,CTE,2026-2027,Requested
RQ084,S10084,IT1,Principles of IT,CTE,2026-2027,Recommended
RQ085,S10085,EDU1,Principles of Education,CTE,2026-2027,Requested
RQ086,S10086,MFG1,Principles of Manufacturing,CTE,2026-2027,Recommended
RQ087,S10087,ENG1,English I,ELA,2026-2027,Requested
RQ088,S10088,ENG2,English II,ELA,2026-2027,Recommended
RQ089,S10089,ALG1,Algebra I,Math,2026-2027,Requested
RQ090,S10090,GEOM,Geometry,Math,2026-2027,Recommended
RQ091,S10091,BIO,Biology,Science,2026-2027,Requested
RQ092,S10092,BUS1,Principles of Business,CTE,2026-2027,Recommended
RQ093,S10093,HLTH1,Principles of Health Science,CTE,2026-2027,Requested
RQ094,S10094,IT1,Principles of IT,CTE,2026-2027,Recommended
RQ095,S10095,EDU1,Principles of Education,CTE,2026-2027,Requested
RQ096,S10096,MFG1,Principles of Manufacturing,CTE,2026-2027,Recommended
RQ097,S10097,ENG1,English I,ELA,2026-2027,Requested
RQ098,S10098,ENG2,English II,ELA,2026-2027,Recommended
RQ099,S10099,ALG1,Algebra I,Math,2026-2027,Requested
