AssessmentAttemptID,LocalStudentID,AssessmentType,Subject,AssessmentDate,ScaleScore,MetCriterion,AccommodationUsed,Administration
A0100,S10010,AP,ELA,2025-02-11,1,No,No,Spring 2025
A0101,S10010,IB,Math,2025-03-11,2,No,No,Spring 2025
A0102,S10010,SAT,ELA,2025-04-11,652,Yes,No,Spring 2025
A0110,S10011,IB,Math,2025-02-12,2,No,No,Spring 2025
A0111,S10011,SAT,ELA,2025-03-12,638,Yes,No,Spring 2025
A0112,S10011,ACT,Math,2025-04-12,4,No,No,Spring 2025
A0120,S10012,SAT,ELA,2025-02-13,624,Yes,No,Spring 2025
A0121,S10012,ACT,Math,2025-03-13,4,No,No,Spring 2025
A0122,S10012,TSIA2,ELA,2025-04-13,686,Yes,No,Spring 2025
A0130,S10013,ACT,Math,2025-02-14,4,No,No,Spring 2025
A0131,S10013,TSIA2,ELA,2025-03-14,672,Yes,No,Spring 2025
A0132,S10013,STAAR EOC,Math,2025-04-14,1,No,No,Spring 2025
A0140,S10014,TSIA2,ELA,2025-02-15,658,Yes,No,Spring 2025
A0141,S10014,STAAR EOC,Math,2025-03-15,1,No,No,Spring 2025
A0142,S10014,AP,ELA,2025-04-15,2,No,No,Spring 2025
A0150,S10015,STAAR EOC,Math,2025-02-16,1,No,No,Spring 2025
A0151,S10015,AP,ELA,2025-03-16,2,No,No,Spring 2025
A0152,S10015,IB,Math,2025-04-16,3,Yes,No,Spring 2025
A0160,S10016,AP,ELA,2025-02-17,2,No,No,Spring 2025
A0161,S10016,IB,Math,2025-03-17,3,Yes,No,Spring 2025
A0162,S10016,SAT,ELA,2025-04-17,754,Yes,No,Spring 2025
A0170,S10017,IB,Math,2025-02-18,3,Yes,No,Spring 2025
A0171,S10017,SAT,ELA,2025-03-18,740,Yes,No,Spring 2025
A0172,S10017,ACT,Math,2025-04-18,5,No,No,Spring 2025
A0180,S10018,SAT,ELA,2025-02-19,726,Yes,No,Spring 2025
A0181,S10018,ACT,Math,2025-03-19,5,No,No,Spring 2025
A0182,S10018,TSIA2,ELA,2025-04-19,788,Yes,No,Spring 2025
A0190,S10019,ACT,Math,2025-02-20,5,No,No,Spring 2025
A0191,S10019,TSIA2,ELA,2025-03-20,774,Yes,No,Spring 2025
A0192,S10019,STAAR EOC,Math,2025-04-20,2,No,No,Spring 2025
A0200,S10020,TSIA2,ELA,2025-02-21,760,Yes,No,Spring 2025
A0201,S10020,STAAR EOC,Math,2025-03-21,2,No,No,Spring 2025
A0202,S10020,AP,ELA,2025-04-21,3,Yes,No,Spring 2025
A0210,S10021,STAAR EOC,Math,2025-02-22,2,No,No,Spring 2025
A0211,S10021,AP,ELA,2025-03-22,3,Yes,No,Spring 2025
A0212,S10021,IB,Math,2025-04-22,4,Yes,No,Spring 2025
A0220,S10022,AP,ELA,2025-02-23,3,Yes,No,Spring 2025
A0221,S10022,IB,Math,2025-03-23,4,Yes,No,Spring 2025
A0222,S10022,SAT,ELA,2025-04-23,476,No,No,Spring 2025
A0230,S10023,IB,Math,2025-02-24,4,Yes,No,Spring 2025
A0231,S10023,SAT,ELA,2025-03-24,462,No,No,Spring 2025
A0232,S10023,ACT,Math,2025-04-24,1,No,No,Spring 2025
A0240,S10024,SAT,ELA,2025-02-25,448,No,No,Spring 2025
A0241,S10024,ACT,Math,2025-03-25,1,No,No,Spring 2025
A0242,S10024,TSIA2,ELA,2025-04-25,510,Yes,No,Spring 2025
A0250,S10025,ACT,Math,2025-02-01,1,No,No,Spring 2025
A0251,S10025,TSIA2,ELA,2025-03-01,496,Yes,No,Spring 2025
A0252,S10025,STAAR EOC,Math,2025-04-01,3,No,No,Spring 2025
A0260,S10026,TSIA2,ELA,2025-02-02,482,Yes,No,Spring 2025
A0261,S10026,STAAR EOC,Math,2025-03-02,3,No,No,Spring 2025
A0262,S10026,AP,ELA,2025-04-02,4,Yes,No,Spring 2025
A0270,S10027,STAAR EOC,Math,2025-02-03,3,No,No,Spring 2025
A0271,S10027,AP,ELA,2025-03-03,4,Yes,No,Spring 2025
A0272,S10027,IB,Math,2025-04-03,5,Yes,No,Spring 2025
A0280,S10028,AP,ELA,2025-02-04,4,Yes,No,Spring 2025
A0281,S10028,IB,Math,2025-03-04,5,Yes,No,Spring 2025
A0282,S10028,SAT,ELA,2025-04-04,578,Yes,No,Spring 2025
A0290,S10029,IB,Math,2025-02-05,5,Yes,No,Spring 2025
A0291,S10029,SAT,ELA,2025-03-05,564,Yes,No,Spring 2025
A0292,S10029,ACT,Math,2025-04-05,2,No,No,Spring 2025
A0300,S10030,SAT,ELA,2025-02-06,550,Yes,No,Spring 2025
A0301,S10030,ACT,Math,2025-03-06,2,No,No,Spring 2025
A0302,S10030,TSIA2,ELA,2025-04-06,612,Yes,No,Spring 2025
A0310,S10031,ACT,Math,2025-02-07,2,No,No,Spring 2025
A0311,S10031,TSIA2,ELA,2025-03-07,598,Yes,No,Spring 2025
A0312,S10031,STAAR EOC,Math,2025-04-07,4,No,No,Spring 2025
A0320,S10032,TSIA2,ELA,2025-02-08,584,Yes,No,Spring 2025
A0321,S10032,STAAR EOC,Math,2025-03-08,4,No,No,Spring 2025
A0322,S10032,AP,ELA,2025-04-08,5,Yes,No,Spring 2025
A0330,S10033,STAAR EOC,Math,2025-02-09,4,No,No,Spring 2025
A0331,S10033,AP,ELA,2025-03-09,5,Yes,No,Spring 2025
A0332,S10033,IB,Math,2025-04-09,1,No,No,Spring 2025
A0340,S10034,AP,ELA,2025-02-10,5,Yes,No,Spring 2025
A0341,S10034,IB,Math,2025-03-10,1,No,No,Spring 2025
A0342,S10034,SAT,ELA,2025-04-10,680,Yes,No,Spring 2025
A0350,S10035,IB,Math,2025-02-11,1,No,No,Spring 2025
A0351,S10035,SAT,ELA,2025-03-11,666,Yes,No,Spring 2025
A0352,S10035,ACT,Math,2025-04-11,3,No,No,Spring 2025
A0360,S10036,SAT,ELA,2025-02-12,652,Yes,No,Spring 2025
A0361,S10036,ACT,Math,2025-03-12,3,No,No,Spring 2025
A0362,S10036,TSIA2,ELA,2025-04-12,714,Yes,No,Spring 2025
A0370,S10037,ACT,Math,2025-02-13,3,No,No,Spring 2025
A0371,S10037,TSIA2,ELA,2025-03-13,700,Yes,No,Spring 2025
A0372,S10037,STAAR EOC,Math,2025-04-13,5,No,No,Spring 2025
A0380,S10038,TSIA2,ELA,2025-02-14,686,Yes,No,Spring 2025
A0381,S10038,STAAR EOC,Math,2025-03-14,5,No,No,Spring 2025
A0382,S10038,AP,ELA,2025-04-14,1,No,No,Spring 2025
A0390,S10039,STAAR EOC,Math,2025-02-15,5,No,No,Spring 2025
A0391,S10039,AP,ELA,2025-03-15,1,No,No,Spring 2025
A0392,S10039,IB,Math,2025-04-15,2,No,No,Spring 2025
A0400,S10040,AP,ELA,2025-02-16,1,No,No,Spring 2025
A0401,S10040,IB,Math,2025-03-16,2,No,No,Spring 2025
A0402,S10040,SAT,ELA,2025-04-16,782,Yes,No,Spring 2025
A0410,S10041,IB,Math,2025-02-17,2,No,No,Spring 2025
A0411,S10041,SAT,ELA,2025-03-17,768,Yes,No,Spring 2025
A0412,S10041,ACT,Math,2025-04-17,4,No,No,Spring 2025
A0420,S10042,SAT,ELA,2025-02-18,754,Yes,No,Spring 2025
A0421,S10042,ACT,Math,2025-03-18,4,No,No,Spring 2025
A0422,S10042,TSIA2,ELA,2025-04-18,436,No,No,Spring 2025
A0430,S10043,ACT,Math,2025-02-19,4,No,No,Spring 2025
A0431,S10043,TSIA2,ELA,2025-03-19,422,No,No,Spring 2025
A0432,S10043,STAAR EOC,Math,2025-04-19,1,No,No,Spring 2025
A0440,S10044,TSIA2,ELA,2025-02-20,788,Yes,No,Spring 2025
A0441,S10044,STAAR EOC,Math,2025-03-20,1,No,No,Spring 2025
A0442,S10044,AP,ELA,2025-04-20,2,No,No,Spring 2025
A0450,S10045,STAAR EOC,Math,2025-02-21,1,No,No,Spring 2025
A0451,S10045,AP,ELA,2025-03-21,2,No,No,Spring 2025
A0452,S10045,IB,Math,2025-04-21,3,Yes,No,Spring 2025
A0460,S10046,AP,ELA,2025-02-22,2,No,No,Spring 2025
A0461,S10046,IB,Math,2025-03-22,3,Yes,No,Spring 2025
A0462,S10046,SAT,ELA,2025-04-22,504,Yes,No,Spring 2025
A0470,S10047,IB,Math,2025-02-23,3,Yes,No,Spring 2025
A0471,S10047,SAT,ELA,2025-03-23,490,Yes,No,Spring 2025
A0472,S10047,ACT,Math,2025-04-23,5,No,No,Spring 2025
A0480,S10048,SAT,ELA,2025-02-24,476,No,No,Spring 2025
A0481,S10048,ACT,Math,2025-03-24,5,No,No,Spring 2025
A0482,S10048,TSIA2,ELA,2025-04-24,538,Yes,No,Spring 2025
A0490,S10049,ACT,Math,2025-02-25,5,No,No,Spring 2025
A0491,S10049,TSIA2,ELA,2025-03-25,524,Yes,No,Spring 2025
A0492,S10049,STAAR EOC,Math,2025-04-25,2,No,No,Spring 2025
A0500,S10050,TSIA2,ELA,2025-02-01,510,Yes,No,Spring 2025
A0501,S10050,STAAR EOC,Math,2025-03-01,2,No,No,Spring 2025
A0502,S10050,AP,ELA,2025-04-01,3,Yes,No,Spring 2025
A0510,S10051,STAAR EOC,Math,2025-02-02,2,No,No,Spring 2025
A0511,S10051,AP,ELA,2025-03-02,3,Yes,No,Spring 2025
A0512,S10051,IB,Math,2025-04-02,4,Yes,No,Spring 2025
A0520,S10052,AP,ELA,2025-02-03,3,Yes,No,Spring 2025
A0521,S10052,IB,Math,2025-03-03,4,Yes,No,Spring 2025
A0522,S10052,SAT,ELA,2025-04-03,606,Yes,No,Spring 2025
A0530,S10053,IB,Math,2025-02-04,4,Yes,No,Spring 2025
A0531,S10053,SAT,ELA,2025-03-04,592,Yes,No,Spring 2025
A0532,S10053,ACT,Math,2025-04-04,1,No,No,Spring 2025
A0540,S10054,SAT,ELA,2025-02-05,578,Yes,No,Spring 2025
A0541,S10054,ACT,Math,2025-03-05,1,No,No,Spring 2025
A0542,S10054,TSIA2,ELA,2025-04-05,640,Yes,No,Spring 2025
A0550,S10055,ACT,Math,2025-02-06,1,No,No,Spring 2025
A0551,S10055,TSIA2,ELA,2025-03-06,626,Yes,No,Spring 2025
A0552,S10055,STAAR EOC,Math,2025-04-06,3,No,No,Spring 2025
A0560,S10056,TSIA2,ELA,2025-02-07,612,Yes,No,Spring 2025
A0561,S10056,STAAR EOC,Math,2025-03-07,3,No,No,Spring 2025
A0562,S10056,AP,ELA,2025-04-07,4,Yes,No,Spring 2025
A0570,S10057,STAAR EOC,Math,2025-02-08,3,No,No,Spring 2025
A0571,S10057,AP,ELA,2025-03-08,4,Yes,No,Spring 2025
A0572,S10057,IB,Math,2025-04-08,5,Yes,No,Spring 2025
A0580,S10058,AP,ELA,2025-02-09,4,Yes,No,Spring 2025
A0581,S10058,IB,Math,2025-03-09,5,Yes,No,Spring 2025
A0582,S10058,SAT,ELA,2025-04-09,708,Yes,No,Spring 2025
A0590,S10059,IB,Math,2025-02-10,5,Yes,No,Spring 2025
A0591,S10059,SAT,ELA,2025-03-10,694,Yes,No,Spring 2025
A0592,S10059,ACT,Math,2025-04-10,2,No,No,Spring 2025
A0600,S10060,SAT,ELA,2025-02-11,680,Yes,No,Spring 2025
A0601,S10060,ACT,Math,2025-03-11,2,No,No,Spring 2025
A0602,S10060,TSIA2,ELA,2025-04-11,742,Yes,No,Spring 2025
A0610,S10061,ACT,Math,2025-02-12,2,No,No,Spring 2025
A0611,S10061,TSIA2,ELA,2025-03-12,728,Yes,No,Spring 2025
A0612,S10061,STAAR EOC,Math,2025-04-12,4,No,No,Spring 2025
A0620,S10062,TSIA2,ELA,2025-02-13,714,Yes,No,Spring 2025
A0621,S10062,STAAR EOC,Math,2025-03-13,4,No,No,Spring 2025
A0622,S10062,AP,ELA,2025-04-13,5,Yes,No,Spring 2025
A0630,S10063,STAAR EOC,Math,2025-02-14,4,No,No,Spring 2025
A0631,S10063,AP,ELA,2025-03-14,5,Yes,No,Spring 2025
A0632,S10063,IB,Math,2025-04-14,1,No,No,Spring 2025
A0640,S10064,AP,ELA,2025-02-15,5,Yes,No,Spring 2025
A0641,S10064,IB,Math,2025-03-15,1,No,No,Spring 2025
A0642,S10064,SAT,ELA,2025-04-15,430,No,No,Spring 2025
A0650,S10065,IB,Math,2025-02-16,1,No,No,Spring 2025
A0651,S10065,SAT,ELA,2025-03-16,796,Yes,No,Spring 2025
A0652,S10065,ACT,Math,2025-04-16,3,No,No,Spring 2025
A0660,S10066,SAT,ELA,2025-02-17,782,Yes,No,Spring 2025
A0661,S10066,ACT,Math,2025-03-17,3,No,No,Spring 2025
A0662,S10066,TSIA2,ELA,2025-04-17,464,No,No,Spring 2025
A0670,S10067,ACT,Math,2025-02-18,3,No,No,Spring 2025
A0671,S10067,TSIA2,ELA,2025-03-18,450,No,No,Spring 2025
A0672,S10067,STAAR EOC,Math,2025-04-18,5,No,No,Spring 2025
A0680,S10068,TSIA2,ELA,2025-02-19,436,No,No,Spring 2025
A0681,S10068,STAAR EOC,Math,2025-03-19,5,No,No,Spring 2025
A0682,S10068,AP,ELA,2025-04-19,1,No,No,Spring 2025
A0690,S10069,STAAR EOC,Math,2025-02-20,5,No,No,Spring 2025
A0691,S10069,AP,ELA,2025-03-20,1,No,No,Spring 2025
A0692,S10069,IB,Math,2025-04-20,2,No,No,Spring 2025
A0700,S10070,AP,ELA,2025-02-21,1,No,No,Spring 2025
A0701,S10070,IB,Math,2025-03-21,2,No,No,Spring 2025
A0702,S10070,SAT,ELA,2025-04-21,532,Yes,No,Spring 2025
A0710,S10071,IB,Math,2025-02-22,2,No,No,Spring 2025
A0711,S10071,SAT,ELA,2025-03-22,518,Yes,No,Spring 2025
A0712,S10071,ACT,Math,2025-04-22,4,No,No,Spring 2025
A0720,S10072,SAT,ELA,2025-02-23,504,Yes,No,Spring 2025
A0721,S10072,ACT,Math,2025-03-23,4,No,No,Spring 2025
A0722,S10072,TSIA2,ELA,2025-04-23,566,Yes,No,Spring 2025
A0730,S10073,ACT,Math,2025-02-24,4,No,No,Spring 2025
A0731,S10073,TSIA2,ELA,2025-03-24,552,Yes,No,Spring 2025
A0732,S10073,STAAR EOC,Math,2025-04-24,1,No,No,Spring 2025
A0740,S10074,TSIA2,ELA,2025-02-25,538,Yes,No,Spring 2025
A0741,S10074,STAAR EOC,Math,2025-03-25,1,No,No,Spring 2025
A0742,S10074,AP,ELA,2025-04-25,2,No,No,Spring 2025
A0750,S10075,STAAR EOC,Math,2025-02-01,1,No,No,Spring 2025
A0751,S10075,AP,ELA,2025-03-01,2,No,No,Spring 2025
A0752,S10075,IB,Math,2025-04-01,3,Yes,No,Spring 2025
A0760,S10076,AP,ELA,2025-02-02,2,No,No,Spring 2025
A0761,S10076,IB,Math,2025-03-02,3,Yes,No,Spring 2025
A0762,S10076,SAT,ELA,2025-04-02,634,Yes,No,Spring 2025
A0770,S10077,IB,Math,2025-02-03,3,Yes,No,Spring 2025
A0771,S10077,SAT,ELA,2025-03-03,620,Yes,No,Spring 2025
A0772,S10077,ACT,Math,2025-04-03,5,No,No,Spring 2025
A0780,S10078,SAT,ELA,2025-02-04,606,Yes,No,Spring 2025
A0781,S10078,ACT,Math,2025-03-04,5,No,No,Spring 2025
A0782,S10078,TSIA2,ELA,2025-04-04,668,Yes,No,Spring 2025
A0790,S10079,ACT,Math,2025-02-05,5,No,No,Spring 2025
A0791,S10079,TSIA2,ELA,2025-03-05,654,Yes,No,Spring 2025
A0792,S10079,STAAR EOC,Math,2025-04-05,2,No,No,Spring 2025
A0800,S10080,TSIA2,ELA,2025-02-06,640,Yes,No,Spring 2025
A0801,S10080,STAAR EOC,Math,2025-03-06,2,No,No,Spring 2025
A0802,S10080,AP,ELA,2025-04-06,3,Yes,No,Spring 2025
A0810,S10081,STAAR EOC,Math,2025-02-07,2,No,No,Spring 2025
A0811,S10081,AP,ELA,2025-03-07,3,Yes,No,Spring 2025
A0812,S10081,IB,Math,2025-04-07,4,Yes,No,Spring 2025
A0820,S10082,AP,ELA,2025-02-08,3,Yes,No,Spring 2025
A0821,S10082,IB,Math,2025-03-08,4,Yes,No,Spring 2025
A0822,S10082,SAT,ELA,2025-04-08,736,Yes,No,Spring 2025
A0830,S10083,IB,Math,2025-02-09,4,Yes,No,Spring 2025
A0831,S10083,SAT,ELA,2025-03-09,722,Yes,No,Spring 2025
A0832,S10083,ACT,Math,2025-04-09,1,No,No,Spring 2025
A0840,S10084,SAT,ELA,2025-02-10,708,Yes,No,Spring 2025
A0841,S10084,ACT,Math,2025-03-10,1,No,No,Spring 2025
A0842,S10084,TSIA2,ELA,2025-04-10,770,Yes,No,Spring 2025
A0850,S10085,ACT,Math,2025-02-11,1,No,No,Spring 2025
A0851,S10085,TSIA2,ELA,2025-03-11,756,Yes,No,Spring 2025
A0852,S10085,STAAR EOC,Math,2025-04-11,3,No,No,Spring 2025
A0860,S10086,TSIA2,ELA,2025-02-12,742,Yes,No,Spring 2025
A0861,S10086,STAAR EOC,Math,2025-03-12,3,No,No,Spring 2025
A0862,S10086,AP,ELA,2025-04-12,4,Yes,No,Spring 2025
A0870,S10087,STAAR EOC,Math,2025-02-13,3,No,No,Spring 2025
A0871,S10087,AP,ELA,2025-03-13,4,Yes,No,Spring 2025
A0872,S10087,IB,Math,2025-04-13,5,Yes,No,Spring 2025
A0880,S10088,AP,ELA,2025-02-14,4,Yes,No,Spring 2025
A0881,S10088,IB,Math,2025-03-14,5,Yes,No,Spring 2025
A0882,S10088,SAT,ELA,2025-04-14,458,No,No,Spring 2025
A0890,S10089,IB,Math,2025-02-15,5,Yes,No,Spring 2025
A0891,S10089,SAT,ELA,2025-03-15,444,No,No,Spring 2025
A0892,S10089,ACT,Math,2025-04-15,2,No,No,Spring 2025
A0900,S10090,SAT,ELA,2025-02-16,430,No,No,Spring 2025
A0901,S10090,ACT,Math,2025-03-16,2,No,No,Spring 2025
A0902,S10090,TSIA2,ELA,2025-04-16,492,Yes,No,Spring 2025
A0910,S10091,ACT,Math,2025-02-17,2,No,No,Spring 2025
A0911,S10091,TSIA2,ELA,2025-03-17,478,No,No,Spring 2025
A0912,S10091,STAAR EOC,Math,2025-04-17,4,No,No,Spring 2025
A0920,S10092,TSIA2,ELA,2025-02-18,464,No,No,Spring 2025
A0921,S10092,STAAR EOC,Math,2025-03-18,4,No,No,Spring 2025
A0922,S10092,AP,ELA,2025-04-18,5,Yes,No,Spring 2025
A0930,S10093,STAAR EOC,Math,2025-02-19,4,No,No,Spring 2025
A0931,S10093,AP,ELA,2025-03-19,5,Yes,No,Spring 2025
A0932,S10093,IB,Math,2025-04-19,1,No,No,Spring 2025
A0940,S10094,AP,ELA,2025-02-20,5,Yes,No,Spring 2025
A0941,S10094,IB,Math,2025-03-20,1,No,No,Spring 2025
A0942,S10094,SAT,ELA,2025-04-20,560,Yes,No,Spring 2025
A0950,S10095,IB,Math,2025-02-21,1,No,No,Spring 2025
A0951,S10095,SAT,ELA,2025-03-21,546,Yes,No,Spring 2025
A0952,S10095,ACT,Math,2025-04-21,3,No,No,Spring 2025
A0960,S10096,SAT,ELA,2025-02-22,532,Yes,No,Spring 2025
A0961,S10096,ACT,Math,2025-03-22,3,No,No,Spring 2025
A0962,S10096,TSIA2,ELA,2025-04-22,594,Yes,No,Spring 2025
A0970,S10097,ACT,Math,2025-02-23,3,No,No,Spring 2025
A0971,S10097,TSIA2,ELA,2025-03-23,580,Yes,No,Spring 2025
A0972,S10097,STAAR EOC,Math,2025-04-23,5,No,No,Spring 2025
A0980,S10098,TSIA2,ELA,2025-02-24,566,Yes,No,Spring 2025
A0981,S10098,STAAR EOC,Math,2025-03-24,5,No,No,Spring 2025
A0982,S10098,AP,ELA,2025-04-24,1,No,No,Spring 2025
A0990,S10099,STAAR EOC,Math,2025-02-25,5,No,No,Spring 2025
A0991,S10099,AP,ELA,2025-03-25,1,No,No,Spring 2025
A0992,S10099,IB,Math,2025-04-25,2,No,No,Spring 2025
