TranscriptCourseID,LocalStudentID,CourseCode,CourseName,SubjectArea,SchoolYear,Term,CreditsEarned,FinalGrade,Passed
TR0113,S10011,BIO,Biology,Science,2026,S2,0.5,B,Yes
TR0120,S10012,ALG1,Algebra I,Math,2023,S1,0.5,A,Yes
TR0121,S10012,GEOM,Geometry,Math,2024,S2,0.5,B,Yes
TR0122,S10012,BIO,Biology,Science,2025,S1,0.5,B,Yes
TR0123,S10012,BUS1,Principles of Business,CTE,2026,S2,0.5,B,Yes
TR0130,S10013,GEOM,Geometry,Math,2023,S1,0.5,B,Yes
TR0131,S10013,BIO,Biology,Science,2024,S2,0.5,B,Yes
TR0132,S10013,BUS1,Principles of Business,CTE,2025,S1,0.5,B,Yes
TR0133,S10013,HLTH1,Principles of Health Science,CTE,2026,S2,0.5,A,Yes
TR0140,S10014,BIO,Biology,Science,2023,S1,0.5,B,Yes
TR0141,S10014,BUS1,Principles of Business,CTE,2024,S2,0.5,B,Yes
TR0142,S10014,HLTH1,Principles of Health Science,CTE,2025,S1,0.5,A,Yes
TR0143,S10014,IT1,Principles of IT,CTE,2026,S2,0.5,B,Yes
TR0150,S10015,BUS1,Principles of Business,CTE,2023,S1,0.5,B,Yes
TR0151,S10015,HLTH1,Principles of Health Science,CTE,2024,S2,0.5,A,Yes
TR0152,S10015,IT1,Principles of IT,CTE,2025,S1,0.5,B,Yes
TR0153,S10015,EDU1,Principles of Education,CTE,2026,S2,0.5,B,Yes
TR0160,S10016,HLTH1,Principles of Health Science,CTE,2023,S1,0.5,A,Yes
TR0161,S10016,IT1,Principles of IT,CTE,2024,S2,0.5,B,Yes
TR0162,S10016,EDU1,Principles of Education,CTE,2025,S1,0.5,B,Yes
TR0163,S10016,MFG1,Principles of Manufacturing,CTE,2026,S2,0.5,B,Yes
TR0170,S10017,IT1,Principles of IT,CTE,2023,S1,0.5,B,Yes
TR0171,S10017,EDU1,Principles of Education,CTE,2024,S2,0.5,B,Yes
TR0172,S10017,MFG1,Principles of Manufacturing,CTE,2025,S1,0.5,B,Yes
TR0173,S10017,ENG1,English I,ELA,2026,S2,0.5,A,Yes
TR0180,S10018,EDU1,Principles of Education,CTE,2023,S1,0.5,B,Yes
TR0181,S10018,MFG1,Principles of Manufacturing,CTE,2024,S2,0.5,B,Yes
TR0182,S10018,ENG1,English I,ELA,2025,S1,0.5,A,Yes
TR0183,S10018,ENG2,English II,ELA,2026,S2,0.5,B,Yes
TR0190,S10019,MFG1,Principles of Manufacturing,CTE,2023,S1,0.5,B,Yes
TR0191,S10019,ENG1,English I,ELA,2024,S2,0.5,A,Yes
TR0192,S10019,ENG2,English II,ELA,2025,S1,0.5,B,Yes
TR0193,S10019,ALG1,Algebra I,Math,2026,S2,0.5,B,Yes
TR0200,S10020,ENG1,English I,ELA,2023,S1,0.5,A,Yes
TR0201,S10020,ENG2,English II,ELA,2024,S2,0.5,B,Yes
TR0202,S10020,ALG1,Algebra I,Math,2025,S1,0.5,B,Yes
TR0203,S10020,GEOM,Geometry,Math,2026,S2,0.5,B,Yes
TR0210,S10021,ENG2,English II,ELA,2023,S1,0.5,B,Yes
TR0211,S10021,ALG1,Algebra I,Math,2024,S2,0.5,B,Yes
TR0212,S10021,GEOM,Geometry,Math,2025,S1,0.5,B,Yes
TR0213,S10021,BIO,Biology,Science,2026,S2,0.5,A,Yes
TR0220,S10022,ALG1,Algebra I,Math,2023,S1,0.5,B,Yes
TR0221,S10022,GEOM,Geometry,Math,2024,S2,0.5,B,Yes
TR0222,S10022,BIO,Biology,Science,2025,S1,0.5,A,Yes
TR0223,S10022,BUS1,Principles of Business,CTE,2026,S2,0.5,B,Yes
TR0230,S10023,GEOM,Geometry,Math,2023,S1,0.5,B,Yes
TR0231,S10023,BIO,Biology,Science,2024,S2,0.5,A,Yes
TR0232,S10023,BUS1,Principles of Business,CTE,2025,S1,0.5,B,Yes
TR0233,S10023,HLTH1,Principles of Health Science,CTE,2026,S2,0.5,B,Yes
TR0240,S10024,BIO,Biology,Science,2023,S1,0.5,A,Yes
TR0241,S10024,BUS1,Principles of Business,CTE,2024,S2,0.5,B,Yes
TR0242,S10024,HLTH1,Principles of Health Science,CTE,2025,S1,0.5,B,Yes
TR0243,S10024,IT1,Principles of IT,CTE,2026,S2,0.5,B,Yes
TR0250,S10025,BUS1,Principles of Business,CTE,2023,S1,0.5,B,Yes
TR0251,S10025,HLTH1,Principles of Health Science,CTE,2024,S2,0.5,B,Yes
TR0252,S10025,IT1,Principles of IT,CTE,2025,S1,0.5,B,Yes
TR0253,S10025,EDU1,Principles of Education,CTE,2026,S2,0.5,A,Yes
TR0260,S10026,HLTH1,Principles of Health Science,CTE,2023,S1,0.5,B,Yes
TR0261,S10026,IT1,Principles of IT,CTE,2024,S2,0.5,B,Yes
TR0262,S10026,EDU1,Principles of Education,CTE,2025,S1,0.5,A,Yes
TR0263,S10026,MFG1,Principles of Manufacturing,CTE,2026,S2,0.5,B,Yes
TR0270,S10027,IT1,Principles of IT,CTE,2023,S1,0.5,B,Yes
TR0271,S10027,EDU1,Principles of Education,CTE,2024,S2,0.5,A,Yes
TR0272,S10027,MFG1,Principles of Manufacturing,CTE,2025,S1,0.5,B,Yes
TR0273,S10027,ENG1,English I,ELA,2026,S2,0.5,B,Yes
TR0280,S10028,EDU1,Principles of Education,CTE,2023,S1,0.5,A,Yes
TR0281,S10028,MFG1,Principles of Manufacturing,CTE,2024,S2,0.5,B,Yes
TR0282,S10028,ENG1,English I,ELA,2025,S1,0.5,B,Yes
TR0283,S10028,ENG2,English II,ELA,2026,S2,0.5,B,Yes
TR0290,S10029,MFG1,Principles of Manufacturing,CTE,2023,S1,0.5,B,Yes
TR0291,S10029,ENG1,English I,ELA,2024,S2,0.5,B,Yes
TR0292,S10029,ENG2,English II,ELA,2025,S1,0.5,B,Yes
TR0293,S10029,ALG1,Algebra I,Math,2026,S2,0.5,A,Yes
TR0300,S10030,ENG1,English I,ELA,2023,S1,0.5,B,Yes
TR0301,S10030,ENG2,English II,ELA,2024,S2,0.5,B,Yes
TR0302,S10030,ALG1,Algebra I,Math,2025,S1,0.5,A,Yes
TR0303,S10030,GEOM,Geometry,Math,2026,S2,0.5,B,Yes
TR0310,S10031,ENG2,English II,ELA,2023,S1,0.5,B,Yes
TR0311,S10031,ALG1,Algebra I,Math,2024,S2,0.5,A,Yes
TR0312,S10031,GEOM,Geometry,Math,2025,S1,0.5,B,Yes
TR0313,S10031,BIO,Biology,Science,2026,S2,0.5,B,Yes
TR0320,S10032,ALG1,Algebra I,Math,2023,S1,0.5,A,Yes
TR0321,S10032,GEOM,Geometry,Math,2024,S2,0.5,B,Yes
TR0322,S10032,BIO,Biology,Science,2025,S1,0.5,B,Yes
TR0323,S10032,BUS1,Principles of Business,CTE,2026,S2,0.5,B,Yes
TR0330,S10033,GEOM,Geometry,Math,2023,S1,0.5,B,Yes
TR0331,S10033,BIO,Biology,Science,2024,S2,0.5,B,Yes
TR0332,S10033,BUS1,Principles of Business,CTE,2025,S1,0.5,B,Yes
TR0333,S10033,HLTH1,Principles of Health Science,CTE,2026,S2,0.5,A,Yes
TR0340,S10034,BIO,Biology,Science,2023,S1,0.5,B,Yes
TR0341,S10034,BUS1,Principles of Business,CTE,2024,S2,0.5,B,Yes
TR0342,S10034,HLTH1,Principles of Health Science,CTE,2025,S1,0.5,A,Yes
TR0343,S10034,IT1,Principles of IT,CTE,2026,S2,0.5,B,Yes
TR0350,S10035,BUS1,Principles of Business,CTE,2023,S1,0.5,B,Yes
TR0351,S10035,HLTH1,Principles of Health Science,CTE,2024,S2,0.5,A,Yes
TR0352,S10035,IT1,Principles of IT,CTE,2025,S1,0.5,B,Yes
TR0353,S10035,EDU1,Principles of Education,CTE,2026,S2,0.5,B,Yes
TR0360,S10036,HLTH1,Principles of Health Science,CTE,2023,S1,0.5,A,Yes
TR0361,S10036,IT1,Principles of IT,CTE,2024,S2,0.5,B,Yes
TR0362,S10036,EDU1,Principles of Education,CTE,2025,S1,0.5,B,Yes
TR0363,S10036,MFG1,Principles of Manufacturing,CTE,2026,S2,0.5,B,Yes
TR0370,S10037,IT1,Principles of IT,CTE,2023,S1,0.5,B,Yes
TR0371,S10037,EDU1,Principles of Education,CTE,2024,S2,0.5,B,Yes
TR0372,S10037,MFG1,Principles of Manufacturing,CTE,2025,S1,0.5,B,Yes
TR0373,S10037,ENG1,English I,ELA,2026,S2,0.5,A,Yes
TR0380,S10038,EDU1,Principles of Education,CTE,2023,S1,0.5,B,Yes
TR0381,S10038,MFG1,Principles of Manufacturing,CTE,2024,S2,0.5,B,Yes
TR0382,S10038,ENG1,English I,ELA,2025,S1,0.5,A,Yes
TR0383,S10038,ENG2,English II,ELA,2026,S2,0.5,B,Yes
TR0390,S10039,MFG1,Principles of Manufacturing,CTE,2023,S1,0.5,B,Yes
TR0391,S10039,ENG1,English I,ELA,2024,S2,0.5,A,Yes
TR0392,S10039,ENG2,English II,ELA,2025,S1,0.5,B,Yes
TR0393,S10039,ALG1,Algebra I,Math,2026,S2,0.5,B,Yes
TR0400,S10040,ENG1,English I,ELA,2023,S1,0.5,A,Yes
TR0401,S10040,ENG2,English II,ELA,2024,S2,0.5,B,Yes
TR0402,S10040,ALG1,Algebra I,Math,2025,S1,0.5,B,Yes
TR0403,S10040,GEOM,Geometry,Math,2026,S2,0.5,B,Yes
TR0410,S10041,ENG2,English II,ELA,2023,S1,0.5,B,Yes
TR0411,S10041,ALG1,Algebra I,Math,2024,S2,0.5,B,Yes
TR0412,S10041,GEOM,Geometry,Math,2025,S1,0.5,B,Yes
TR0413,S10041,BIO,Biology,Science,2026,S2,0.5,A,Yes
TR0420,S10042,ALG1,Algebra I,Math,2023,S1,0.5,B,Yes
TR0421,S10042,GEOM,Geometry,Math,2024,S2,0.5,B,Yes
TR0422,S10042,BIO,Biology,Science,2025,S1,0.5,A,Yes
TR0423,S10042,BUS1,Principles of Business,CTE,2026,S2,0.5,B,Yes
TR0430,S10043,GEOM,Geometry,Math,2023,S1,0.5,B,Yes
TR0431,S10043,BIO,Biology,Science,2024,S2,0.5,A,Yes
TR0432,S10043,BUS1,Principles of Business,CTE,2025,S1,0.5,B,Yes
TR0433,S10043,HLTH1,Principles of Health Science,CTE,2026,S2,0.5,B,Yes
TR0440,S10044,BIO,Biology,Science,2023,S1,0.5,A,Yes
TR0441,S10044,BUS1,Principles of Business,CTE,2024,S2,0.5,B,Yes
TR0442,S10044,HLTH1,Principles of Health Science,CTE,2025,S1,0.5,B,Yes
TR0443,S10044,IT1,Principles of IT,CTE,2026,S2,0.5,B,Yes
TR0450,S10045,BUS1,Principles of Business,CTE,2023,S1,0.5,B,Yes
TR0451,S10045,HLTH1,Principles of Health Science,CTE,2024,S2,0.5,B,Yes
TR0452,S10045,IT1,Principles of IT,CTE,2025,S1,0.5,B,Yes
TR0453,S10045,EDU1,Principles of Education,CTE,2026,S2,0.5,A,Yes
TR0460,S10046,HLTH1,Principles of Health Science,CTE,2023,S1,0.5,B,Yes
TR0461,S10046,IT1,Principles of IT,CTE,2024,S2,0.5,B,Yes
TR0462,S10046,EDU1,Principles of Education,CTE,2025,S1,0.5,A,Yes
TR0463,S10046,MFG1,Principles of Manufacturing,CTE,2026,S2,0.5,B,Yes
TR0470,S10047,IT1,Principles of IT,CTE,2023,S1,0.5,B,Yes
TR0471,S10047,EDU1,Principles of Education,CTE,2024,S2,0.5,A,Yes
TR0472,S10047,MFG1,Principles of Manufacturing,CTE,2025,S1,0.5,B,Yes
TR0473,S10047,ENG1,English I,ELA,2026,S2,0.5,B,Yes
TR0480,S10048,EDU1,Principles of Education,CTE,2023,S1,0.5,A,Yes
TR0481,S10048,MFG1,Principles of Manufacturing,CTE,2024,S2,0.5,B,Yes
TR0482,S10048,ENG1,English I,ELA,2025,S1,0.5,B,Yes
TR0483,S10048,ENG2,English II,ELA,2026,S2,0.5,B,Yes
TR0490,S10049,MFG1,Principles of Manufacturing,CTE,2023,S1,0.5,B,Yes
TR0491,S10049,ENG1,English I,ELA,2024,S2,0.5,B,Yes
TR0492,S10049,ENG2,English II,ELA,2025,S1,0.5,B,Yes
TR0493,S10049,ALG1,Algebra I,Math,2026,S2,0.5,A,Yes
TR0500,S10050,ENG1,English I,ELA,2023,S1,0.5,B,Yes
TR0501,S10050,ENG2,English II,ELA,2024,S2,0.5,B,Yes
TR0502,S10050,ALG1,Algebra I,Math,2025,S1,0.5,A,Yes
TR0503,S10050,GEOM,Geometry,Math,2026,S2,0.5,B,Yes
TR0510,S10051,ENG2,English II,ELA,2023,S1,0.5,B,Yes
TR0511,S10051,ALG1,Algebra I,Math,2024,S2,0.5,A,Yes
TR0512,S10051,GEOM,Geometry,Math,2025,S1,0.5,B,Yes
TR0513,S10051,BIO,Biology,Science,2026,S2,0.5,B,Yes
TR0520,S10052,ALG1,Algebra I,Math,2023,S1,0.5,A,Yes
TR0521,S10052,GEOM,Geometry,Math,2024,S2,0.5,B,Yes
TR0522,S10052,BIO,Biology,Science,2025,S1,0.5,B,Yes
TR0523,S10052,BUS1,Principles of Business,CTE,2026,S2,0.5,B,Yes
TR0530,S10053,GEOM,Geometry,Math,2023,S1,0.5,B,Yes
TR0531,S10053,BIO,Biology,Science,2024,S2,0.5,B,Yes
TR0532,S10053,BUS1,Principles of Business,CTE,2025,S1,0.5,B,Yes
TR0533,S10053,HLTH1,Principles of Health Science,CTE,2026,S2,0.5,A,Yes
TR0540,S10054,BIO,Biology,Science,2023,S1,0.5,B,Yes
TR0541,S10054,BUS1,Principles of Business,CTE,2024,S2,0.5,B,Yes
TR0542,S10054,HLTH1,Principles of Health Science,CTE,2025,S1,0.5,A,Yes
TR0543,S10054,IT1,Principles of IT,CTE,2026,S2,0.5,B,Yes
TR0550,S10055,BUS1,Principles of Business,CTE,2023,S1,0.5,B,Yes
TR0551,S10055,HLTH1,Principles of Health Science,CTE,2024,S2,0.5,A,Yes
TR0552,S10055,IT1,Principles of IT,CTE,2025,S1,0.5,B,Yes
TR0553,S10055,EDU1,Principles of Education,CTE,2026,S2,0.5,B,Yes
TR0560,S10056,HLTH1,Principles of Health Science,CTE,2023,S1,0.5,A,Yes
TR0561,S10056,IT1,Principles of IT,CTE,2024,S2,0.5,B,Yes
TR0562,S10056,EDU1,Principles of Education,CTE,2025,S1,0.5,B,Yes
TR0563,S10056,MFG1,Principles of Manufacturing,CTE,2026,S2,0.5,B,Yes
TR0570,S10057,IT1,Principles of IT,CTE,2023,S1,0.5,B,Yes
TR0571,S10057,EDU1,Principles of Education,CTE,2024,S2,0.5,B,Yes
TR0572,S10057,MFG1,Principles of Manufacturing,CTE,2025,S1,0.5,B,Yes
TR0573,S10057,ENG1,English I,ELA,2026,S2,0.5,A,Yes
TR0580,S10058,EDU1,Principles of Education,CTE,2023,S1,0.5,B,Yes
TR0581,S10058,MFG1,Principles of Manufacturing,CTE,2024,S2,0.5,B,Yes
TR0582,S10058,ENG1,English I,ELA,2025,S1,0.5,A,Yes
TR0583,S10058,ENG2,English II,ELA,2026,S2,0.5,B,Yes
TR0590,S10059,MFG1,Principles of Manufacturing,CTE,2023,S1,0.5,B,Yes
TR0591,S10059,ENG1,English I,ELA,2024,S2,0.5,A,Yes
TR0592,S10059,ENG2,English II,ELA,2025,S1,0.5,B,Yes
TR0593,S10059,ALG1,Algebra I,Math,2026,S2,0.5,B,Yes
TR0600,S10060,ENG1,English I,ELA,2023,S1,0.5,A,Yes
TR0601,S10060,ENG2,English II,ELA,2024,S2,0.5,B,Yes
TR0602,S10060,ALG1,Algebra I,Math,2025,S1,0.5,B,Yes
TR0603,S10060,GEOM,Geometry,Math,2026,S2,0.5,B,Yes
TR0610,S10061,ENG2,English II,ELA,2023,S1,0.5,B,Yes
TR0611,S10061,ALG1,Algebra I,Math,2024,S2,0.5,B,Yes
TR0612,S10061,GEOM,Geometry,Math,2025,S1,0.5,B,Yes
TR0613,S10061,BIO,Biology,Science,2026,S2,0.5,A,Yes
TR0620,S10062,ALG1,Algebra I,Math,2023,S1,0.5,B,Yes
TR0621,S10062,GEOM,Geometry,Math,2024,S2,0.5,B,Yes
TR0622,S10062,BIO,Biology,Science,2025,S1,0.5,A,Yes
TR0623,S10062,BUS1,Principles of Business,CTE,2026,S2,0.5,B,Yes
TR0630,S10063,GEOM,Geometry,Math,2023,S1,0.5,B,Yes
TR0631,S10063,BIO,Biology,Science,2024,S2,0.5,A,Yes
TR0632,S10063,BUS1,Principles of Business,CTE,2025,S1,0.5,B,Yes
TR0633,S10063,HLTH1,Principles of Health Science,CTE,2026,S2,0.5,B,Yes
TR0640,S10064,BIO,Biology,Science,2023,S1,0.5,A,Yes
TR0641,S10064,BUS1,Principles of Business,CTE,2024,S2,0.5,B,Yes
TR0642,S10064,HLTH1,Principles of Health Science,CTE,2025,S1,0.5,B,Yes
TR0643,S10064,IT1,Principles of IT,CTE,2026,S2,0.5,B,Yes
TR0650,S10065,BUS1,Principles of Business,CTE,2023,S1,0.5,B,Yes
TR0651,S10065,HLTH1,Principles of Health Science,CTE,2024,S2,0.5,B,Yes
TR0652,S10065,IT1,Principles of IT,CTE,2025,S1,0.5,B,Yes
TR0653,S10065,EDU1,Principles of Education,CTE,2026,S2,0.5,A,Yes
TR0660,S10066,HLTH1,Principles of Health Science,CTE,2023,S1,0.5,B,Yes
TR0661,S10066,IT1,Principles of IT,CTE,2024,S2,0.5,B,Yes
TR0662,S10066,EDU1,Principles of Education,CTE,2025,S1,0.5,A,Yes
TR0663,S10066,MFG1,Principles of Manufacturing,CTE,2026,S2,0.5,B,Yes
TR0670,S10067,IT1,Principles of IT,CTE,2023,S1,0.5,B,Yes
TR0671,S10067,EDU1,Principles of Education,CTE,2024,S2,0.5,A,Yes
TR0672,S10067,MFG1,Principles of Manufacturing,CTE,2025,S1,0.5,B,Yes
TR0673,S10067,ENG1,English I,ELA,2026,S2,0.5,B,Yes
TR0680,S10068,EDU1,Principles of Education,CTE,2023,S1,0.5,A,Yes
TR0681,S10068,MFG1,Principles of Manufacturing,CTE,2024,S2,0.5,B,Yes
TR0682,S10068,ENG1,English I,ELA,2025,S1,0.5,B,Yes
TR0683,S10068,ENG2,English II,ELA,2026,S2,0.5,B,Yes
TR0690,S10069,MFG1,Principles of Manufacturing,CTE,2023,S1,0.5,B,Yes
TR0691,S10069,ENG1,English I,ELA,2024,S2,0.5,B,Yes
TR0692,S10069,ENG2,English II,ELA,2025,S1,0.5,B,Yes
TR0693,S10069,ALG1,Algebra I,Math,2026,S2,0.5,A,Yes
TR0700,S10070,ENG1,English I,ELA,2023,S1,0.5,B,Yes
TR0701,S10070,ENG2,English II,ELA,2024,S2,0.5,B,Yes
TR0702,S10070,ALG1,Algebra I,Math,2025,S1,0.5,A,Yes
TR0703,S10070,GEOM,Geometry,Math,2026,S2,0.5,B,Yes
TR0710,S10071,ENG2,English II,ELA,2023,S1,0.5,B,Yes
TR0711,S10071,ALG1,Algebra I,Math,2024,S2,0.5,A,Yes
TR0712,S10071,GEOM,Geometry,Math,2025,S1,0.5,B,Yes
TR0713,S10071,BIO,Biology,Science,2026,S2,0.5,B,Yes
TR0720,S10072,ALG1,Algebra I,Math,2023,S1,0.5,A,Yes
TR0721,S10072,GEOM,Geometry,Math,2024,S2,0.5,B,Yes
TR0722,S10072,BIO,Biology,Science,2025,S1,0.5,B,Yes
TR0723,S10072,BUS1,Principles of Business,CTE,2026,S2,0.5,B,Yes
TR0730,S10073,GEOM,Geometry,Math,2023,S1,0.5,B,Yes
TR0731,S10073,BIO,Biology,Science,2024,S2,0.5,B,Yes
TR0732,S10073,BUS1,Principles of Business,CTE,2025,S1,0.5,B,Yes
TR0733,S10073,HLTH1,Principles of Health Science,CTE,2026,S2,0.5,A,Yes
TR0740,S10074,BIO,Biology,Science,2023,S1,0.5,B,Yes
TR0741,S10074,BUS1,Principles of Business,CTE,2024,S2,0.5,B,Yes
TR0742,S10074,HLTH1,Principles of Health Science,CTE,2025,S1,0.5,A,Yes
TR0743,S10074,IT1,Principles of IT,CTE,2026,S2,0.5,B,Yes
TR0750,S10075,BUS1,Principles of Business,CTE,2023,S1,0.5,B,Yes
TR0751,S10075,HLTH1,Principles of Health Science,CTE,2024,S2,0.5,A,Yes
TR0752,S10075,IT1,Principles of IT,CTE,2025,S1,0.5,B,Yes
TR0753,S10075,EDU1,Principles of Education,CTE,2026,S2,0.5,B,Yes
TR0760,S10076,HLTH1,Principles of Health Science,CTE,2023,S1,0.5,A,Yes
TR0761,S10076,IT1,Principles of IT,CTE,2024,S2,0.5,B,Yes
TR0762,S10076,EDU1,Principles of Education,CTE,2025,S1,0.5,B,Yes
TR0763,S10076,MFG1,Principles of Manufacturing,CTE,2026,S2,0.5,B,Yes
TR0770,S10077,IT1,Principles of IT,CTE,2023,S1,0.5,B,Yes
TR0771,S10077,EDU1,Principles of Education,CTE,2024,S2,0.5,B,Yes
TR0772,S10077,MFG1,Principles of Manufacturing,CTE,2025,S1,0.5,B,Yes
TR0773,S10077,ENG1,English I,ELA,2026,S2,0.5,A,Yes
TR0780,S10078,EDU1,Principles of Education,CTE,2023,S1,0.5,B,Yes
TR0781,S10078,MFG1,Principles of Manufacturing,CTE,2024,S2,0.5,B,Yes
TR0782,S10078,ENG1,English I,ELA,2025,S1,0.5,A,Yes
TR0783,S10078,ENG2,English II,ELA,2026,S2,0.5,B,Yes
TR0790,S10079,MFG1,Principles of Manufacturing,CTE,2023,S1,0.5,B,Yes
TR0791,S10079,ENG1,English I,ELA,2024,S2,0.5,A,Yes
TR0792,S10079,ENG2,English II,ELA,2025,S1,0.5,B,Yes
TR0793,S10079,ALG1,Algebra I,Math,2026,S2,0.5,B,Yes
TR0800,S10080,ENG1,English I,ELA,2023,S1,0.5,A,Yes
TR0801,S10080,ENG2,English II,ELA,2024,S2,0.5,B,Yes
TR0802,S10080,ALG1,Algebra I,Math,2025,S1,0.5,B,Yes
TR0803,S10080,GEOM,Geometry,Math,2026,S2,0.5,B,Yes
TR0810,S10081,ENG2,English II,ELA,2023,S1,0.5,B,Yes
TR0811,S10081,ALG1,Algebra I,Math,2024,S2,0.5,B,Yes
TR0812,S10081,GEOM,Geometry,Math,2025,S1,0.5,B,Yes
TR0813,S10081,BIO,Biology,Science,2026,S2,0.5,A,Yes
TR0820,S10082,ALG1,Algebra I,Math,2023,S1,0.5,B,Yes
TR0821,S10082,GEOM,Geometry,Math,2024,S2,0.5,B,Yes
TR0822,S10082,BIO,Biology,Science,2025,S1,0.5,A,Yes
TR0823,S10082,BUS1,Principles of Business,CTE,2026,S2,0.5,B,Yes
TR0830,S10083,GEOM,Geometry,Math,2023,S1,0.5,B,Yes
TR0831,S10083,BIO,Biology,Science,2024,S2,0.5,A,Yes
TR0832,S10083,BUS1,Principles of Business,CTE,2025,S1,0.5,B,Yes
TR0833,S10083,HLTH1,Principles of Health Science,CTE,2026,S2,0.5,B,Yes
TR0840,S10084,BIO,Biology,Science,2023,S1,0.5,A,Yes
TR0841,S10084,BUS1,Principles of Business,CTE,2024,S2,0.5,B,Yes
TR0842,S10084,HLTH1,Principles of Health Science,CTE,2025,S1,0.5,B,Yes
TR0843,S10084,IT1,Principles of IT,CTE,2026,S2,0.5,B,Yes
TR0850,S10085,BUS1,Principles of Business,CTE,2023,S1,0.5,B,Yes
TR0851,S10085,HLTH1,Principles of Health Science,CTE,2024,S2,0.5,B,Yes
TR0852,S10085,IT1,Principles of IT,CTE,2025,S1,0.5,B,Yes
TR0853,S10085,EDU1,Principles of Education,CTE,2026,S2,0.5,A,Yes
TR0860,S10086,HLTH1,Principles of Health Science,CTE,2023,S1,0.5,B,Yes
TR0861,S10086,IT1,Principles of IT,CTE,2024,S2,0.5,B,Yes
TR0862,S10086,EDU1,Principles of Education,CTE,2025,S1,0.5,A,Yes
TR0863,S10086,MFG1,Principles of Manufacturing,CTE,2026,S2,0.5,B,Yes
